ibge7;Município;Taxa de mortalidade por câncer de colo de útero;Taxa de mortalidade por câncer de mama;Taxa de mortalidade por câncer de pulmão
3121100;Delfim Moreira;0,00;25,95;37,73
3121209;Delfinópolis;0,00;0,00;23,82
3121258;Delta;0,00;0,00;19,06
3121308;Descoberto;0,00;0,00;20,29
3121407;Desterro de Entre Rios;0,00;26,62;26,13
3121506;Desterro do Melo;0,00;0,00;0,00
3121605;Diamantina;4,08;16,32;10,48
3121704;Diogo de Vasconcelos;0,00;0,00;56,35
3121803;Dionísio;0,00;56,82;14,60
3121902;Divinésia;47,21;0,00;0,00
3122009;Divino;0,00;9,77;4,83
3122108;Divino das Laranjeiras;46,53;0,00;0,00
3122207;Divinolândia de Minas;0,00;29,73;0,00
3122306;Divinópolis;5,01;28,41;12,12
3122355;Divisa Alegre;0,00;0,00;0,00
3122405;Divisa Nova;0,00;0,00;0,00
3122454;Divisópolis;0,00;20,13;19,58
3122470;Dom Bosco;0,00;0,00;0,00
3122504;Dom Cavati;0,00;39,35;20,39
3122603;Dom Joaquim;82,03;0,00;0,00
3122702;Dom Silvério;0,00;0,00;19,13
3122801;Dom Viçoso;0,00;0,00;0,00
3122900;Dona Euzébia;0,00;33,01;0,00
3123007;Dores de Campos;0,00;0,00;9,99
3123106;Dores de Guanhães;0,00;0,00;0,00
3123205;Dores do Indaiá;0,00;30,52;39,59
3123304;Dores do Turvo;0,00;0,00;20,05
3123403;Doresópolis;0,00;0,00;0,00
3123502;Douradoquara;0,00;0,00;0,00
3123528;Durandé;0,00;0,00;51,17
3123601;Elói Mendes;7,43;14,87;26,58
3123700;Engenheiro Caldas;0,00;0,00;0,00
3123809;Engenheiro Navarro;0,00;0,00;0,00
3123858;Entre Folhas;39,32;0,00;38,62
3123908;Entre Rios de Minas;0,00;0,00;6,78
3124005;Ervália;0,00;9,88;19,75
3124104;Esmeraldas;2,32;16,21;4,67
3124203;Espera Feliz;0,00;16,43;24,89
3124302;Espinosa;6,47;19,42;9,85
3124401;Espírito Santo do Dourado;0,00;0,00;30,25
3124500;Estiva;17,89;17,89;8,69
3124609;Estrela D' Alva;0,00;0,00;0,00
3124708;Estrela do Indaiá;0,00;0,00;0,00
3124807;Estrela do Sul;0,00;0,00;14,62
3124906;Eugenópolis;0,00;37,62;18,52
3125002;Ewbank da Câmara;0,00;0,00;0,00
3125101;Extrema;7,51;3,76;18,70
3125200;Fama;78,00;0,00;0,00
3125309;Faria Lemos;62,27;0,00;62,74
3125408;Felício dos Santos;0,00;0,00;0,00
3125606;Felisburgo;0,00;0,00;0,00
3125705;Felixlândia;0,00;0,00;28,62
3125804;Fernandes Tourinho;0,00;70,52;0,00
3125903;Ferros;0,00;20,82;20,86
3125952;Fervedouro;0,00;19,70;19,15
3126000;Florestal;24,46;0,00;12,43
3126109;Formiga;0,00;25,97;19,05
3126208;Formoso;0,00;0,00;12,58
3126307;Fortaleza de Minas;0,00;0,00;28,76
3126406;Fortuna de Minas;0,00;0,00;32,33
3126505;Francisco Badaró;27,89;27,89;13,58
3126604;Francisco Dumont;0,00;0,00;0,00
3126752;Franciscópolis;0,00;40,47;0,00
3126703;Francisco Sá;8,76;8,76;12,78
3126802;Frei Gaspar;0,00;0,00;17,73
3126901;Frei Inocêncio;0,00;71,14;12,16
3126950;Frei Lagonegro;0,00;0,00;0,00
3127008;Fronteira;0,00;13,83;6,88
3127057;Fronteira dos Vales;0,00;0,00;0,00
3127073;Fruta de Leite;0,00;0,00;0,00
3127107;Frutal;3,40;10,19;15,36
3127206;Funilândia;0,00;0,00;21,34
3127305;Galiléia;0,00;31,73;32,14
3127339;Gameleiras;0,00;0,00;20,86
3127354;Glaucilândia;0,00;0,00;0,00
3127370;Goiabeira;67,61;67,61;0,00
3127388;Goianá;0,00;0,00;24,67
3127404;Gonçalves;43,52;43,52;21,11
3127503;Gonzaga;0,00;0,00;19,12
3127602;Gouveia;0,00;0,00;0,00
3127701;Governador Valadares;4,43;28,06;19,83
3127800;Grão Mogol;0,00;0,00;0,00
3127909;Grupiara;145,77;0,00;0,00
3128006;Guanhães;12,03;24,05;6,20
3128105;Guapé;0,00;15,04;7,26
3128204;Guaraciaba;0,00;20,64;10,25
3128253;Guaraciama;0,00;0,00;19,80
3128303;Guaranésia;10,52;21,05;10,44
3128402;Guarani;0,00;0,00;12,96
3128501;Guarará;0,00;62,46;0,00
3128600;Guarda-Mor;0,00;0,00;0,00
3128709;Guaxupé;7,67;7,67;21,61
3128808;Guidoval;0,00;0,00;14,02
3128907;Guimarânia;0,00;48,44;0,00
3129004;Guiricema;0,00;0,00;51,43
3129103;Gurinhatã;0,00;0,00;19,26
3129202;Heliodora;0,00;33,61;0,00
3129301;Iapu;0,00;16,72;8,31
3129400;Ibertioga;0,00;0,00;19,24
3129509;Ibiá;18,06;27,09;22,49
3129608;Ibiaí;0,00;64,52;15,91
3129657;Ibiracatu;0,00;0,00;0,00
3129707;Ibiraci;18,50;0,00;9,13
3129806;Ibirité;7,96;13,65;9,98
3129905;Ibitiúra de Minas;0,00;0,00;29,72
3130002;Ibituruna;0,00;0,00;0,00
3130051;Icaraí de Minas;0,00;0,00;0,00
3130101;Igarapé;0,00;8,65;6,54
3130200;Igaratinga;18,86;37,71;18,47
3130309;Iguatama;57,60;28,80;29,30
3130408;Ijaci;0,00;57,69;14,28
3130507;Ilicínea;32,01;16,01;7,85
3130556;Imbé de Minas;0,00;0,00;0,00
3130606;Inconfidentes;0,00;0,00;27,39
3130655;Indaiabira;0,00;0,00;0,00
3130705;Indianópolis;0,00;33,74;16,20
3130804;Ingaí;0,00;0,00;38,76
3130903;Inhapim;0,00;0,00;17,63
3131000;Inhaúma;0,00;0,00;16,03
3131109;Inimutaba;0,00;80,73;27,13
3131158;Ipaba;0,00;49,62;23,34
3131208;Ipanema;9,99;19,98;10,24
3131307;Ipatinga;2,52;17,61;11,42
3131406;Ipiaçu;0,00;0,00;26,49
3131505;Ipuiúna;0,00;0,00;0,00
3131604;Iraí de Minas;28,18;28,18;13,93
3131703;Itabira;6,73;23,54;15,00
3131802;Itabirinha;0,00;18,83;0,00
3131901;Itabirito;0,00;3,66;13,14
3132008;Itacambira;0,00;0,00;0,00
3132107;Itacarambi;11,64;0,00;11,62
3132206;Itaguara;0,00;28,95;14,44
3132305;Itaipé;18,67;0,00;0,00
3132404;Itajubá;0,00;6,31;9,67
3132503;Itamarandiba;0,00;6,09;18,21
3132602;Itamarati de Minas;0,00;0,00;54,20
3132701;Itambacuri;9,14;9,14;14,26
3132800;Itambé do Mato Dentro;0,00;0,00;0,00
3132909;Itamogi;18,64;18,64;9,29
3133006;Itamonte;0,00;26,88;13,53
3133105;Itanhandu;0,00;38,64;6,56
3133204;Itanhomi;17,35;0,00;35,95
3133303;Itaobim;0,00;10,36;15,66
3133402;Itapagipe;0,00;0,00;14,61
3133501;Itapecerica;9,36;0,00;42,89
3133600;Itapeva;0,00;32,01;15,76
3133709;Itatiaiuçu;0,00;15,58;7,71
3133758;Itaú de Minas;0,00;0,00;34,71
3133808;Itaúna;4,03;26,21;16,38
3133907;Itaverava;0,00;36,40;0,00
3134004;Itinga;0,00;0,00;7,28
3134103;Itueta;0,00;0,00;0,00
3134202;Ituiutaba;7,53;18,82;16,63
3134301;Itumirim;0,00;0,00;15,07
3134400;Iturama;5,17;20,67;7,83
3134509;Itutinga;0,00;47,89;0,00
3134608;Jaboticatubas;19,87;39,73;4,90
3134707;Jacinto;0,00;0,00;0,00
3134806;Jacuí;0,00;27,09;0,00
3134905;Jacutinga;0,00;7,75;15,67
3135001;Jaguaraçu;0,00;0,00;0,00
3135050;Jaíba;0,00;10,78;15,93
3135076;Jampruca;0,00;94,92;0,00
3135100;Janaúba;5,49;10,98;7,07
3135209;Januária;3,03;12,12;9,21
3135308;Japaraíba;0,00;0,00;0,00
3135357;Japonvar;25,08;25,08;0,00
3135407;Jeceaba;0,00;0,00;16,14
3135456;Jenipapo de Minas;0,00;0,00;0,00
3135506;Jequeri;0,00;16,08;8,05
3135605;Jequitaí;30,67;0,00;15,42
3135704;Jequitibá;0,00;0,00;50,99
3135803;Jequitinhonha;8,46;8,46;8,33
3135902;Jesuânia;0,00;40,05;19,46
3136009;Joaíma;0,00;0,00;7,20
3136108;Joanésia;0,00;92,46;23,10
3136207;João Monlevade;2,39;19,08;12,47
3136306;João Pinheiro;0,00;8,66;14,96
3136405;Joaquim Felício;0,00;0,00;0,00
3136504;Jordânia;19,73;0,00;0,00
3136520;José Gonçalves de Minas;0,00;0,00;0,00
3136579;Josenópolis;0,00;0,00;0,00
3136553;José Raydan;0,00;0,00;0,00
3136652;Juatuba;6,52;32,60;3,26
3136702;Juiz de Fora;1,40;21,28;16,83
3136801;Juramento;0,00;0,00;0,00
3136900;Juruaia;0,00;0,00;18,04
3136959;Juvenília;0,00;0,00;17,27
3137007;Ladainha;0,00;0,00;0,00
3137106;Lagamar;0,00;0,00;75,40
3137205;Lagoa da Prata;3,81;19,04;15,56
3137304;Lagoa dos Patos;0,00;0,00;30,18
3137403;Lagoa Dourada;0,00;0,00;23,49
3137502;Lagoa Formosa;0,00;10,56;42,32
3137536;Lagoa Grande;0,00;0,00;11,15
3137601;Lagoa Santa;7,70;12,84;11,98
3137700;Lajinha;9,65;0,00;9,60
3137809;Lambari;0,00;0,00;14,70
3137908;Lamim;0,00;62,62;0,00
3138005;Laranjal;33,09;33,09;33,54
3138104;Lassance;0,00;56,72;14,04
3138203;Lavras;5,50;14,67;13,36
3138302;Leandro ferreira;0,00;0,00;31,26
3138351;Leme do Prado;0,00;0,00;0,00
3138401;Leopoldina;3,75;18,73;13,69
3138500;Liberdade;0,00;0,00;0,00
3138609;Lima Duarte;0,00;23,04;11,61
3138625;Limeira do Oeste;0,00;23,46;11,51
3138658;Lontra;0,00;0,00;22,75
3138674;Luisburgo;0,00;0,00;43,13
3138682;Luislândia;0,00;0,00;0,00
3138708;Luminárias;0,00;0,00;35,80
3138807;Luz;0,00;22,10;11,19
3139003;Machado;0,00;15,67;7,96
3139102;Madre de Deus de Minas;0,00;0,00;0,00
3139201;Malacacheta;0,00;11,23;45,67
3139250;Mamonas;0,00;0,00;33,35
3139300;Manga;10,57;10,57;5,29
3139409;Manhuaçu;8,55;8,55;5,44
3139508;Manhumirim;19,16;9,58;14,56
3139607;Mantena;0,00;36,43;3,77
3139706;Maravilhas;0,00;0,00;40,91
3139805;Mar de Espanha;15,08;0,00;23,58
3139904;Maria da Fé;0,00;14,18;21,06
3140001;Mariana;9,51;9,51;14,66
3140100;Marilac;0,00;46,15;0,00
3140159;Mário Campos;0,00;0,00;12,61
3140209;Maripá de Minas;0,00;0,00;0,00
3140308;Marliéria;0,00;43,63;0,00
3140407;Marmelópolis;0,00;63,41;0,00
3140506;Martinho Campos;0,00;43,00;28,57
3140530;Martins Soares;0,00;0,00;0,00
3140555;Mata Verde;21,87;43,74;10,97
3140605;Materlândia;0,00;0,00;25,23
3140704;Mateus Leme;5,22;10,43;7,93
3171501;Mathias Lobato;0,00;0,00;0,00
3140803;Matias Barbosa;0,00;0,00;21,24
3140852;Matias Cardoso;0,00;0,00;11,24
3140902;Matipó;0,00;0,00;16,17
3141009;Mato Verde;0,00;16,08;16,61
3141108;Matozinhos;0,00;5,14;21,27
3141207;Matutina;0,00;51,89;26,22
3138906;Maxacalis;0,00;0,00;15,42
3141306;Medeiros;0,00;53,68;76,92
3141405;Medina;0,00;0,00;4,96
3141504;Mendes Pimentel;0,00;0,00;35,68
3141603;Mercês;0,00;0,00;28,92
3141702;Mesquita;0,00;39,76;0,00
3141801;Minas Novas;0,00;0,00;4,10
3141900;Minduri;0,00;0,00;0,00
3142007;Mirabela;0,00;0,00;14,65
3142106;Miradouro;0,00;22,16;44,60
3142205;Miraí;0,00;0,00;22,01
3142254;Miravânia;0,00;50,38;0,00
3142304;Moeda;0,00;38,91;0,00
3142403;Moema;25,96;0,00;0,00
3142502;Monjolos;0,00;0,00;0,00
3142601;Monsenhor Paulo;0,00;0,00;11,99
3142700;Montalvânia;0,00;0,00;21,34
3142809;Monte Alegre de Minas;0,00;0,00;24,79
3142908;Monte Azul;0,00;0,00;0,00
3143005;Monte Belo;0,00;46,79;23,00
3143104;Monte Carmelo;8,38;20,94;16,78
3143153;Monte Formoso;0,00;0,00;22,83
3143203;Monte Santo de Minas;9,55;9,55;19,15
3143302;Montes Claros;4,18;16,24;8,69
3143401;Monte Sião;0,00;8,21;20,76
3143450;Montezuma;0,00;0,00;14,52
3143500;Morada Nova de Minas;22,63;45,27;11,03
3143609;Morro da Garça;0,00;0,00;41,48
3143708;Morro do Pilar;0,00;62,81;0,00
3143807;Munhoz;0,00;0,00;0,00
3143906;Muriaé;12,91;29,50;19,21
3144003;Mutum;0,00;14,64;10,86
3144102;Muzambinho;0,00;18,21;13,70
3144201;Nacip Raydan;0,00;0,00;0,00
3144300;Nanuque;16,40;0,00;5,71
3144359;Naque;0,00;0,00;15,87
3144375;Natalândia;0,00;58,04;0,00
3144409;Natércia;0,00;0,00;21,32
3144508;Nazareno;0,00;0,00;0,00
3144607;Nepomuceno;0,00;7,89;15,99
3144656;Ninheira;0,00;0,00;9,44
3144672;Nova Belém;0,00;0,00;31,74
3144706;Nova Era;11,03;11,03;11,47
3144805;Nova Lima;3,48;22,62;7,16
3144904;Nova Módica;0,00;0,00;27,30
3145000;Nova Ponte;0,00;13,87;13,70
3145059;Nova Porteirinha;0,00;0,00;14,91
3145109;Nova Resende;0,00;12,64;18,31
3145208;Nova Serrana;3,78;7,56;3,79
3136603;Nova União;33,93;0,00;50,77
3145307;Novo Cruzeiro;22,03;0,00;0,00
3145356;Novo Oriente de Minas;0,00;0,00;9,73
3145372;Novorizonte;0,00;0,00;0,00
3145406;Olaria;0,00;213,22;51,41
3145455;Olhos D' Água;0,00;0,00;0,00
3145505;Olímpio Noronha;0,00;77,76;39,14
3145604;Oliveira;0,00;34,62;20,38
3145703;Oliveira Fortes;0,00;0,00;0,00
3145802;Onça do Pitangui;0,00;67,98;0,00
3145851;Oratórios;40,90;81,80;20,34
3145877;Orizânia;0,00;0,00;0,00
3145901;Ouro Branco;0,00;15,21;2,58
3146008;Ouro Fino;0,00;12,35;15,58
3146107;Ouro Preto;7,83;20,87;14,70
3146206;Ouro Verde de Minas;0,00;34,64;0,00
3146255;Padre Carvalho;0,00;0,00;0,00
3146305;Padre Paraíso;11,43;0,00;11,54
3146404;Paineiras;0,00;47,13;0,00
3146503;Pains;0,00;0,00;0,00
3146552;Pai Pedro;0,00;36,50;0,00
