ibge7;Município;Taxa de mortalidade por câncer de colo de útero;Taxa de mortalidade por câncer de mama;Taxa de mortalidade por câncer de pulmão
3158102;Santa Maria do Salto;0,00;0,00;0,00
3158201;Santa Maria do Suaçuí;0,00;31,19;15,64
3158300;Santana da Vargem;0,00;0,00;15,06
3158409;Santana de Cataguases;0,00;0,00;28,66
3158508;Santana de Pirapama;0,00;0,00;14,22
3158607;Santana do Deserto;0,00;53,11;0,00
3158706;Santana do Garambéu;94,34;94,34;0,00
3158805;Santana do Jacaré;0,00;48,01;23,73
3158904;Santana do Manhuaçu;0,00;0,00;0,00
3158953;Santana do paraíso;8,82;8,82;6,70
3159001;Santana do Riacho;0,00;37,85;0,00
3159100;Santana dos Montes;0,00;0,00;28,83
3159209;Santa Rita de Caldas;0,00;48,13;23,64
3159308;Santa Rita de Jacutinga;0,00;42,11;0,00
3159357;Santa Rita de Minas;0,00;88,97;14,76
3159407;Santa Rita do Ibitipoca;0,00;0,00;30,29
3159506;Santa Rita do Itueto;0,00;0,00;34,33
3159605;Santa Rita do Sapucaí;4,88;0,00;19,69
3159704;Santa Rosa da Serra;0,00;0,00;0,00
3159803;Santa Vitória;0,00;19,15;9,54
3159902;Santo Antônio do Amparo;0,00;11,50;40,50
3160009;Santo Antônio do Aventureiro;0,00;0,00;0,00
3160108;Santo Antônio do Grama;47,01;0,00;0,00
3160207;Santo Antônio do Itambé;0,00;0,00;0,00
3160306;Santo Antônio do Jacinto;0,00;19,60;0,00
3160405;Santo Antônio do Monte;0,00;0,00;7,33
3160454;Santo Antônio do Retiro;0,00;0,00;0,00
3160504;Santo Antônio do Rio Abaixo;0,00;0,00;0,00
3160603;Santo Hipólito;0,00;0,00;0,00
3160702;Santos Dumont;4,54;27,24;18,87
3160801;São Bento Abade;0,00;0,00;21,22
3160900;São Brás do Suaçuí;0,00;0,00;0,00
3160959;São Domingos das Dores;35,69;0,00;0,00
3161007;São Domingos do Prata;11,28;0,00;0,00
3161056;São Félix de Minas;0,00;0,00;0,00
3161106;São Francisco;3,82;3,82;7,58
3161205;São Francisco de Paula;0,00;32,44;16,16
3161304;São Francisco de Sales;0,00;35,86;17,45
3161403;São Francisco do Glória;0,00;0,00;0,00
3161502;São Geraldo;0,00;38,51;19,45
3161601;São Geraldo da Piedade;0,00;57,97;0,00
3161650;São Geraldo do Baixio;0,00;0,00;0,00
3161700;São Gonçalo do Abaeté;0,00;0,00;13,56
3161809;São Gonçalo do Pará;0,00;17,06;0,00
3161908;São Gonçalo do Rio Abaixo;0,00;16,50;0,00
3125507;São Gonçalo do Rio Preto;0,00;0,00;0,00
3162005;São Gonçalo do Sapucaí;0,00;8,30;12,52
3162104;São Gotardo;9,83;9,83;4,89
3162203;São João Batista do Glória;0,00;52,53;39,21
3162252;São João da Lagoa;0,00;43,12;0,00
3162302;São João da Mata;0,00;0,00;0,00
3162401;São João da Ponte;17,23;0,00;16,72
3162450;São João das Missões;0,00;0,00;7,68
3162500;São João Del Rei;2,14;23,52;13,30
3162559;São João do Manhuaçu;0,00;0,00;0,00
3162575;São João do Manteninha;0,00;109,49;18,76
3162609;São João do Oriente;0,00;27,84;14,14
3162658;São João do Pacuí;0,00;0,00;25,18
3162708;São João do Paraíso;0,00;0,00;29,28
3162807;São João Evangelista;0,00;25,79;6,53
3162906;São João Nepomuceno;0,00;0,00;7,82
3162922;São Joaquim de Bicas;12,47;12,47;11,65
3162948;São José da Barra;0,00;51,85;12,83
3162955;São José da Lapa;7,51;15,01;7,69
3163003;São José da Safira;0,00;52,88;0,00
3163102;São José da Varginha;0,00;0,00;0,00
3163201;São José do Alegre;0,00;0,00;24,20
3163300;São José do Divino;0,00;0,00;28,87
3163409;São José do Goiabal;0,00;72,78;0,00
3163508;São José do Jacuri;0,00;0,00;16,14
3163607;São José do Mantimento;0,00;72,62;0,00
3163706;São Lourenço;0,00;0,00;22,32
3163805;São Miguel do Anta;0,00;0,00;0,00
3163904;São Pedro da União;0,00;0,00;20,47
3164001;São Pedro dos Ferros;0,00;0,00;0,00
3164100;São Pedro do Suaçuí;0,00;0,00;19,60
3164209;São Romão;19,81;19,81;0,00
3164308;São Roque de Minas;0,00;57,44;14,03
3164407;São Sebastião da Bela Vista;0,00;0,00;46,97
3164431;São Sebastião da Vargem Alegre;0,00;65,96;0,00
3164472;São Sebastião do Anta;0,00;32,07;16,14
3164506;São Sebastião do Maranhão;0,00;20,61;9,92
3164605;São Sebastião do Oeste;0,00;23,40;11,34
3164704;São Sebastião do Paraíso;0,00;21,81;19,50
3164803;São Sebastião do Rio Preto;0,00;151,06;79,43
3164902;São Sebastião do Rio Verde;0,00;0,00;0,00
3165008;São Tiago;18,05;0,00;8,93
3165107;São Tomás de Aquino;0,00;59,54;29,67
3165206;São Tomé das Letras;0,00;0,00;14,48
3165305;São Vicente de Minas;0,00;28,85;0,00
3165404;Sapucaí Mirim;0,00;0,00;0,00
3165503;Sardoá;0,00;0,00;0,00
3165537;Sarzedo;5,36;10,73;5,43
3165560;Sem-Peixe;0,00;0,00;0,00
3165578;Senador Amaral;0,00;0,00;16,11
3165602;Senador Cortês;0,00;89,77;0,00
3165701;Senador Firmino;0,00;26,06;12,96
3165800;Senador José Bento;0,00;0,00;0,00
3165909;Senador Modestino Gonçalves;0,00;0,00;0,00
3166006;Senhora de Oliveira;0,00;35,79;18,24
3166105;Senhora do Porto;0,00;0,00;0,00
3166204;Senhora dos Remédios;0,00;38,81;0,00
3166303;Sericita;0,00;0,00;13,61
3166402;Seritinga;0,00;109,05;0,00
3166501;Serra Azul de Minas;0,00;0,00;26,37
3166600;Serra da Saudade;0,00;0,00;0,00
3166709;Serra dos Aimorés;0,00;28,15;0,00
3166808;Serra do Salitre;0,00;0,00;16,95
3166907;Serrania;0,00;26,27;0,00
3166956;Serranópolis de Minas;0,00;0,00;0,00
3167004;Serranos;0,00;100,50;0,00
3167103;Serro;0,00;27,35;4,56
3167202;Sete Lagoas;0,84;21,96;13,19
3165552;Setubinha;0,00;20,00;0,00
3167301;Silveirânia;0,00;0,00;43,05
3167400;Silvianópolis;0,00;33,09;0,00
3167509;Simão Pereira;0,00;67,52;0,00
3167608;Simonésia;0,00;0,00;10,13
3167707;Sobrália;0,00;38,85;0,00
3167806;Soledade de Minas;0,00;0,00;17,82
3167905;Tabuleiro;0,00;0,00;0,00
3168002;Taiobeiras;0,00;5,91;15,13
3168051;Taparuba;0,00;0,00;59,05
3168101;Tapira;0,00;0,00;24,28
3168200;Tapiraí;0,00;0,00;0,00
3168309;Taquaraçu de Minas;0,00;99,26;47,35
3168408;Tarumirim;13,43;40,28;20,40
3168507;Teixeiras;0,00;15,95;16,32
3168606;Teófilo Otoni;9,76;15,33;8,73
3168705;Timóteo;9,35;25,72;13,48
3168804;Tiradentes;0,00;25,08;25,83
3168903;Tiros;25,83;0,00;12,69
3169000;Tocantins;0,00;0,00;0,00
3169059;Tocos do Moji;0,00;0,00;0,00
3169109;Toledo;57,26;28,63;13,86
3169208;Tombos;22,91;0,00;34,85
3169307;Três Corações;2,60;18,21;13,25
3169356;Três Marias;0,00;13,52;20,76
3169406;Três Pontas;0,00;7,06;19,91
3169505;Tumiritinga;0,00;0,00;16,99
3169604;Tupaciguara;0,00;15,58;11,78
3169703;Turmalina;10,03;0,00;0,00
3169802;Turvolândia;0,00;0,00;20,26
3169901;Ubá;5,65;9,42;9,67
3170008;Ubaí;0,00;0,00;0,00
3170057;Ubaporanga;0,00;15,45;15,36
3170107;Uberaba;4,56;14,83;18,35
3170206;Uberlândia;4,60;17,33;14,30
3170305;Umburatiba;0,00;0,00;37,26
3170404;Unaí;6,94;18,50;8,08
3170438;União de Minas;0,00;0,00;0,00
3170479;Uruana de Minas;0,00;0,00;0,00
3170503;Urucânia;0,00;0,00;0,00
3170529;Urucuia;11,73;11,73;5,72
3170578;Vargem Alegre;34,06;34,06;69,20
3170602;Vargem Bonita;0,00;0,00;46,34
3170651;Vargem Grande do Rio Pardo;0,00;0,00;21,58
3170701;Varginha;1,42;12,78;12,46
3170750;Varjão de Minas;0,00;0,00;0,00
3170800;Várzea da Palma;0,00;23,62;2,96
3170909;Varzelândia;10,75;0,00;5,31
3171006;Vazante;20,02;10,01;25,03
3171030;Verdelândia;0,00;0,00;13,03
3171071;Veredinha;0,00;0,00;0,00
3171105;Veríssimo;0,00;0,00;87,95
3171154;Vermelho Novo;0,00;0,00;20,41
3171204;Vespasiano;3,00;10,49;11,61
3171303;Viçosa;5,02;10,05;18,32
3171402;Vieiras;0,00;55,34;27,03
3171600;Virgem da Lapa;0,00;0,00;25,42
3171709;Virgínia;0,00;22,55;44,90
3171808;Virginópolis;0,00;19,00;9,70
3171907;Virgolândia;42,68;0,00;0,00
3172004;Visconde do Rio Branco;9,95;19,89;17,88
3172103;Volta Grande;0,00;87,53;90,03
3172202;Wenceslau Braz;0,00;0,00;0,00
